DATE,FRBKCLMCILA
1992-01-01,-0.71073
1992-02-01,-0.89458
1992-03-01,-0.89263
1992-04-01,-0.76171
1992-05-01,-0.77915
1992-06-01,-0.75991
1992-07-01,-0.81932
1992-08-01,-0.83867
1992-09-01,-0.87747
1992-10-01,-0.89307
1992-11-01,-0.78265
1992-12-01,-0.68198
1993-01-01,-0.6572
1993-02-01,-0.68871
1993-03-01,-0.60294
1993-04-01,-0.65041
1993-05-01,-0.60562
1993-06-01,-0.69427
1993-07-01,-0.67144
1993-08-01,-0.6721
1993-09-01,-0.60618
1993-10-01,-0.54858
1993-11-01,-0.36252
1993-12-01,-0.30597
1994-01-01,-0.22433
1994-02-01,-0.16353
1994-03-01,-0.1103
1994-04-01,-0.09496
1994-05-01,-0.00658
1994-06-01,-0.05286
1994-07-01,0.03042
1994-08-01,0.06495
1994-09-01,0.12717
1994-10-01,0.12878
1994-11-01,0.2585
1994-12-01,0.28139
1995-01-01,0.25991
1995-02-01,0.41626
1995-03-01,0.40395
1995-04-01,0.34215
1995-05-01,0.34775
1995-06-01,0.30232
1995-07-01,0.35097
1995-08-01,0.37084
1995-09-01,0.35882
1995-10-01,0.2707
1995-11-01,0.29682
1995-12-01,0.31828
1996-01-01,0.34436
1996-02-01,0.26624
1996-03-01,0.27153
1996-04-01,0.25626
1996-05-01,0.3265
1996-06-01,0.4133
1996-07-01,0.4035
1996-08-01,0.55138
1996-09-01,0.48157
1996-10-01,0.54858
1996-11-01,0.51716
1996-12-01,0.52479
1997-01-01,0.67682
1997-02-01,0.63997
1997-03-01,0.59746
1997-04-01,0.59455
1997-05-01,0.77679
1997-06-01,0.74502
1997-07-01,0.84773
1997-08-01,0.83988
1997-09-01,0.85722
1997-10-01,0.85088
1997-11-01,0.87526
1997-12-01,0.95033
1998-01-01,0.91773
1998-02-01,0.93213
1998-03-01,0.90281
1998-04-01,1.00178
1998-05-01,0.98818
1998-06-01,1.07257
1998-07-01,0.98975
1998-08-01,0.97621
1998-09-01,1.02143
1998-10-01,1.02288
1998-11-01,0.96448
1998-12-01,1.04823
1999-01-01,1.09058
1999-02-01,1.12288
1999-03-01,1.21879
1999-04-01,1.15001
1999-05-01,1.0759
1999-06-01,1.20121
1999-07-01,1.14284
1999-08-01,1.2064
1999-09-01,1.2964
1999-10-01,1.26002
1999-11-01,1.42588
1999-12-01,1.4354
2000-01-01,1.43503
2000-02-01,1.31133
2000-03-01,1.41417
2000-04-01,1.51777
2000-05-01,1.31961
2000-06-01,1.27749
2000-07-01,1.43332
2000-08-01,1.32807
2000-09-01,1.36939
2000-10-01,1.38055
2000-11-01,1.26978
2000-12-01,1.12061
2001-01-01,1.23342
2001-02-01,1.04479
2001-03-01,1.04574
2001-04-01,0.94257
2001-05-01,0.97289
2001-06-01,0.80807
2001-07-01,0.79975
2001-08-01,0.79626
2001-09-01,0.45538
2001-10-01,0.20207
2001-11-01,0.10795
2001-12-01,0.06544
2002-01-01,0.14011
2002-02-01,0.05573
2002-03-01,0.10248
2002-04-01,0.13399
2002-05-01,0.05591
2002-06-01,0.03064
2002-07-01,0.0202
2002-08-01,0.02706
2002-09-01,-0.06704
2002-10-01,-0.10128
2002-11-01,-0.15728
2002-12-01,-0.14699
2003-01-01,-0.18077
2003-02-01,-0.34179
2003-03-01,-0.45897
2003-04-01,-0.34387
2003-05-01,-0.41649
2003-06-01,-0.34594
2003-07-01,-0.40526
2003-08-01,-0.35883
2003-09-01,-0.40612
2003-10-01,-0.33851
2003-11-01,-0.22665
2003-12-01,-0.0741
2004-01-01,-0.11443
2004-02-01,-0.16334
2004-03-01,-0.09006
2004-04-01,-0.00414
2004-05-01,-0.03141
2004-06-01,0.08423
2004-07-01,0.13481
2004-08-01,0.13569
