Fiscal Year,Award Obligation to Date 
2018,$783.02M
2014,$644.97M
2014,$549.61M
2018,$401.04M
2016,$393.81M
2017,$391.48M
2011,$331.97M
2016,$324.73M
2019,$236.46M
2018,$220.74M
2015,$218.12M
2016,$190.97M
2018,$185.52M
2013,$177.32M
2013,$154.88M
2013,$146.40M
2016,$144.26M
2016,$131.84M
2014,$125.74M
2011,$125.63M
2016,$122.65M
2017,$114.00M
2012,$112.50M
2014,$106.00M
2023,$97.14M
2016,$90.04M
2023,$89.10M
2019,$84.25M
2018,$82.55M
2023,$79.81M
2018,$79.00M
2018,$73.34M
2013,$71.46M
2018,$64.46M
2020,$64.39M
2018,$63.92M
2018,$62.41M
2015,$60.31M
2018,$59.38M
2019,$59.00M
2018,$58.72M
2022,$58.13M
2016,$58.10M
2023,$57.38M
2012,$56.37M
2011,$56.00M
2023,$55.40M
2018,$54.72M
2017,$54.25M
2022,$54.07M
2012,$53.89M
2017,$53.25M
2019,$53.20M
2019,$52.49M
2022,$51.32M
2021,$50.74M
2013,$50.30M
2023,$49.18M
2013,$48.08M
2013,$47.89M
2020,$47.58M
2012,$46.39M
2018,$46.17M
2013,$44.43M
2012,$43.79M
2012,$43.58M
2021,$41.63M
2016,$41.21M
2016,$41.14M
2021,$39.72M
2016,$39.65M
2016,$38.98M
2012,$38.67M
2011,$38.14M
2012,$37.94M
2012,$37.45M
2011,$37.16M
2015,$36.94M
2011,$36.88M
2017,$36.79M
2011,$36.66M
2015,$36.28M
2011,$36.21M
2015,$36.18M
2012,$35.60M
2018,$35.54M
2016,$35.36M
2017,$34.84M
2017,$34.56M
2017,$34.54M
2017,$33.76M
2019,$33.27M
2014,$32.76M
2012,$31.93M
2019,$31.80M
2013,$30.79M
2022,$30.75M
2022,$30.75M
2011,$30.57M
2023,$30.26M
2016,$30.00M
2020,$29.96M
2020,$29.95M
2020,$29.90M
2020,$29.43M
2023,$29.40M
2020,$29.40M
2023,$29.40M
2020,$29.40M
2019,$29.40M
2018,$28.70M
2011,$28.56M
2018,$28.53M
2021,$28.42M
2012,$28.16M
2012,$28.03M
2016,$27.82M
2019,$27.69M
2018,$27.34M
2013,$27.31M
2021,$27.28M
2012,$27.03M
2020,$26.77M
2020,$26.71M
2018,$25.97M
2020,$25.86M
2012,$25.82M
2019,$25.80M
2020,$25.78M
2020,$25.64M
2019,$25.22M
2018,$25.22M
2018,$25.13M
2020,$25.04M
2020,$25.00M
2020,$25.00M
2018,$24.48M
2021,$24.47M
2012,$24.38M
2021,$24.17M
2022,$24.11M
2017,$24.02M
2021,$24.01M
2021,$24.00M
2017,$23.83M
2020,$23.69M
2020,$23.66M
2019,$23.35M
2015,$23.20M
2017,$23.05M
2020,$23.02M
2021,$23.00M
2023,$23.00M
2021,$22.93M
2013,$22.88M
2016,$22.80M
2015,$22.61M
2011,$22.40M
2014,$22.39M
2013,$22.38M
2021,$22.22M
2014,$22.17M
2011,$21.92M
2018,$21.87M
2019,$21.79M
2012,$21.73M
2011,$21.59M
2016,$21.58M
2012,$21.39M
2015,$21.10M
2015,$21.07M
2021,$21.06M
2014,$21.00M
2012,$21.00M
2013,$21.00M
2014,$20.91M
2015,$20.90M
2016,$20.88M
2014,$20.87M
2022,$20.76M
2014,$20.74M
2012,$20.64M
2012,$20.55M
2018,$20.47M
2012,$20.42M
2016,$20.41M
2011,$20.32M
2022,$20.27M
2019,$20.25M
2011,$20.25M
2020,$20.21M
2012,$20.17M
2020,$20.10M
2021,$20.10M
2011,$20.05M
2020,$20.04M
2018,$20.01M
2020,$20.00M
2018,$20.00M
2018,$20.00M
2017,$20.00M
2017,$20.00M
2017,$20.00M
2017,$20.00M
2017,$20.00M
2015,$20.00M
2011,$20.00M
2011,$20.00M
2011,$20.00M
2015,$20.00M
2015,$20.00M
2014,$20.00M
2014,$20.00M
2014,$20.00M
2014,$20.00M
2014,$20.00M
2014,$20.00M
2014,$20.00M
2020,$20.00M
2020,$20.00M
2020,$20.00M
2020,$20.00M
2019,$20.00M
2019,$20.00M
